Country,Latitude,Longitude,Region,Aliases
Cuba,21.52,-77.78,Caribbean,cuban|havana
Cyprus,35.13,33.43,Europe,cypriot|nicosia
Czech Republic,49.82,15.47,Europe,czechia|czech|prague
Democratic Republic of the Congo,-4.04,21.76,Africa,dr congo|drc|congo-kinshasa|zaire
Denmark,56.26,9.5,Europe,danish|copenhagen
Djibouti,11.83,42.59,Africa,djiboutian
Dominica,15.41,-61.37,Caribbean,
Dominican Republic,18.74,-70.16,Caribbean,santo domingo
Ecuador,-1.83,-78.18,South America,ecuadorian|quito|guayaquil
Egypt,26.82,30.8,Africa,egyptian|cairo
El Salvador,13.79,-88.9,Central America,salvadoran|san salvador
Equatorial Guinea,1.65,10.27,Africa,
Eritrea,15.18,39.78,Africa,eritrean
Estonia,58.6,25.01,Europe,estonian|tallinn
Eswatini,-26.52,31.47,Africa,swaziland|swazi
Ethiopia,9.15,40.49,Africa,ethiopian|addis ababa
Fiji,-17.71,178.07,Oceania,fijian|suva
Finland,61.92,25.75,Europe,finnish|helsinki
France,46.6,1.89,Europe,french|paris|lyon|marseille
Gabon,-0.8,11.61,Africa,gabonese
Gambia,13.44,-15.31,Africa,gambian
Georgia,42.32,43.36,Asia,tbilisi|republic of georgia
Germany,51.17,10.45,Europe,german|berlin|munich|hamburg|frankfurt
Ghana,7.95,-1.02,Africa,ghanaian|accra|kumasi
Greece,39.07,21.82,Europe,greek|athens|thessaloniki
Grenada,12.12,-61.68,Caribbean,
Guatemala,15.78,-90.23,Central America,guatemalan
Guinea,9.95,-9.7,Africa,guinean
Guinea-Bissau,11.8,-15.18,Africa,
Guyana,4.86,-58.93,South America,georgetown
Haiti,18.97,-72.29,Caribbean,haitian|port-au-prince
Honduras,15.2,-86.24,Central America,honduran|tegucigalpa
Hong Kong,22.32,114.17,Asia,
Hungary,47.16,19.5,Europe,hungarian|budapest
Iceland,64.96,-19.02,Europe,icelandic|reykjavik
India,20.59,78.96,Asia,delhi|mumbai|bangalore|bengaluru|chennai|kolkata|hyderabad
Indonesia,-0.79,113.92,Asia,indonesian|jakarta|surabaya|bandung
Iran,32.43,53.69,Asia,iranian|tehran
Iraq,33.22,43.68,Asia,iraqi|baghdad
Ireland,53.14,-7.69,Europe,irish|dublin
Israel,31.05,34.85,Asia,israeli|tel aviv|jerusalem
Italy,41.87,12.57,Europe,italian|rome|milan|turin|naples
Ivory Coast,7.54,-5.55,Africa,cote d'ivoire|côte d'ivoire|ivorian|abidjan
Jamaica,18.11,-77.3,Caribbean,jamaican|kingston
Japan,36.2,138.25,Asia,japanese|tokyo|osaka|kyoto|yokohama
Jordan,30.59,36.24,Asia,jordanian|amman
Kazakhstan,48.02,66.92,Asia,kazakh|almaty|astana|nur-sultan
Kenya,-0.02,37.91,Africa,kenyan|nairobi
Kosovo,42.6,20.9,Europe,pristina
Kuwait,29.31,47.48,Asia,kuwaiti
Kyrgyzstan,41.2,74.77,Asia,bishkek
Laos,19.86,102.5,Asia,vientiane
Latvia,56.88,24.6,Europe,latvian|riga
Lebanon,33.85,35.86,Asia,lebanese|beirut
Lesotho,-29.61,28.23,Africa,basotho
Liberia,6.43,-9.43,Africa,liberian
Libya,26.34,17.23,Africa,libyan
Lithuania,55.17,23.88,Europe,lithuanian|vilnius
Luxembourg,49.82,6.13,Europe,
Madagascar,-18.77,46.87,Africa,malagasy
Malawi,-13.25,34.3,Africa,malawian
Malaysia,4.21,101.98,Asia,malaysian|kuala lumpur|penang
Maldives,3.2,73.22,Asia,male
Mali,17.57,-4.0,Africa,malian|bamako
Malta,35.94,14.38,Europe,maltese|valletta
Mauritania,21.01,-10.94,Africa,mauritanian
Mauritius,-20.35,57.55,Africa,mauritian
Mexico,23.63,-102.55,North America,mexican|mexico city|guadalajara
Moldova,47.41,28.37,Europe,chisinau
Mongolia,46.86,103.85,Asia,mongolian|ulaanbaatar
Montenegro,42.71,19.37,Europe,podgorica
Morocco,31.79,-7.09,Africa,moroccan|casablanca|rabat
Mozambique,-18.67,35.53,Africa,mozambican|maputo
Myanmar,21.92,95.96,Asia,burma|burmese|yangon
Namibia,-22.96,18.49,Africa,namibian|windhoek
Nepal,28.39,84.12,Asia,nepalese|kathmandu
Netherlands,52.13,5.29,Europe,dutch|amsterdam|rotterdam|the hague|utrecht|holland
New Zealand,-40.9,174.89,Oceania,auckland|wellington|christchurch
Nicaragua,12.87,-85.21,Central America,nicaraguan|managua
Niger,17.61,8.08,Africa,nigerien
Nigeria,9.08,8.68,Africa,nigerian|lagos|abuja|ibadan
North Korea,40.34,127.51,Asia,pyongyang
North Macedonia,41.61,21.75,Europe,macedonia|skopje
Norway,60.47,8.47,Europe,norwegian|oslo|trondheim
Oman,21.51,55.92,Asia,omani|muscat
Pakistan,30.38,69.35,Asia,pakistani|karachi|lahore|islamabad
Palestine,31.95,35.23,Asia,palestinian|gaza|west bank
Panama,8.54,-80.78,Central America,panamanian|panama city
Papua New Guinea,-6.31,143.96,Oceania,port moresby
Paraguay,-23.44,-58.44,South America,paraguayan|asuncion
Peru,-9.19,-75.02,South America,peruvian|lima
Philippines,12.88,121.77,Asia,filipino|philippine|manila|quezon city|cebu
Poland,51.92,19.15,Europe,polish|warsaw|krakow
Portugal,39.4,-8.22,Europe,portuguese|lisbon|porto
Puerto Rico,18.22,-66.59,Caribbean,san juan
Qatar,25.35,51.18,Asia,qatari|doha
Republic of the Congo,-0.23,15.83,Africa,congo-brazzaville
Romania,45.94,24.97,Europe,romanian|bucharest
Russia,61.52,105.32,Europe,russian|moscow|st petersburg
Rwanda,-1.94,29.87,Africa,rwandan|kigali
Saint Kitts and Nevis,17.36,-62.78,Caribbean,
Saint Lucia,13.91,-60.98,Caribbean,
Saint Vincent and the Grenadines,12.98,-61.29,Caribbean,
Samoa,-13.76,-172.1,Oceania,
Sao Tome and Principe,0.19,6.61,Africa,são tomé
Saudi Arabia,23.89,45.08,Asia,saudi|riyadh|jeddah|neom
Senegal,14.5,-14.45,Africa,senegalese|dakar
Serbia,44.02,21.01,Europe,serbian|belgrade
Seychelles,-4.68,55.49,Africa,
Sierra Leone,8.46,-11.78,Africa,freetown
Singapore,1.35,103.82,Asia,singaporean
Slovakia,48.67,19.7,Europe,slovak|bratislava
Slovenia,46.15,15.0,Europe,slovenian|ljubljana|celje|maribor
Solomon Islands,-9.65,160.16,Oceania,
Somalia,5.15,46.2,Africa,somali|mogadishu
South Africa,-30.56,22.94,Africa,south african|johannesburg|cape town|durban|pretoria
South Korea,35.91,127.77,Asia,korea|korean|seoul|busan|republic of korea
South Sudan,6.88,31.31,Africa,juba
Spain,40.46,-3.75,Europe,spanish|madrid|barcelona|valencia|seville
Sri Lanka,7.87,80.77,Asia,sri lankan|colombo
Sudan,12.86,30.22,Africa,sudanese|khartoum
Suriname,3.92,-56.03,South America,paramaribo
Sweden,60.13,18.64,Europe,swedish|stockholm|gothenburg
Switzerland,46.82,8.23,Europe,swiss|zurich|geneva|lausanne
Syria,34.8,38.997,Asia,syrian|damascus
Taiwan,23.7,120.96,Asia,taiwanese|taipei
Tajikistan,38.86,71.28,Asia,dushanbe
Tanzania,-6.37,34.89,Africa,tanzanian|dar es salaam|dodoma
Thailand,15.87,100.99,Asia,thai|bangkok
Togo,8.62,0.82,Africa,togolese|lome
Tonga,-21.18,-175.2,Oceania,
Trinidad and Tobago,10.69,-61.22,Caribbean,trinidadian|port of spain
Tunisia,33.89,9.54,Africa,tunisian|tunis
Turkey,38.96,35.24,Asia,turkish|istanbul|ankara|turkiye|türkiye
Turkmenistan,38.97,59.56,Asia,ashgabat
Uganda,1.37,32.29,Africa,ugandan|kampala
Ukraine,48.38,31.17,Europe,ukrainian|kyiv|kiev
United Arab Emirates,23.42,53.85,Asia,uae|dubai|abu dhabi|emirati
United Kingdom,55.38,-3.44,Europe,uk|u.k.|britain|british|england|scotland|scottish|wales|london|manchester|birmingham|glasgow|edinburgh
United States,37.09,-95.71,North America,usa|u.s.|u.s.a.|united states of america|new york|los angeles|chicago|boston|san francisco|seattle|washington dc
Uruguay,-32.52,-55.77,South America,uruguayan|montevideo
Uzbekistan,41.38,64.59,Asia,uzbek|tashkent
Vanuatu,-15.38,166.96,Oceania,
Venezuela,6.42,-66.59,South America,venezuelan|caracas
Vietnam,14.06,108.28,Asia,vietnamese|hanoi|ho chi minh
Yemen,15.55,48.52,Asia,yemeni|sanaa
Zambia,-13.13,27.85,Africa,zambian|lusaka
Zimbabwe,-19.02,29.15,Africa,zimbabwean|harare
